Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime
Dilwale,18-Dec,21.8,65.09,110.76
Bajirao Mastani,18-Dec,12.8,46.77,98.4
Hate Story 3,4-Dec,9.72,26.82,42
Tamasha,27-Nov,10.87,38.23,53.5
Prem Ratan Dhan Payo,12-Nov,40.35,129.77,172.82
Guddu Ki Gun,30-Oct,1,2,2
Main Aur Charles,30-Oct,1,2,5
Titli,30-Oct,0.5,1.05,2
Shaandaar,22-Oct,13.1,34,40
Pyaar Ka Punchnama 2,16-Oct,6.8,22.4,39.25
Jazbaa,9-Oct,4.23,15.24,21.5
Talvar,2-Oct,2.75,9.25,25.2
Singh Is Bliing,2-Oct,20.67,54.44,78
Calendar Girls,25-Sep,1.6,4.5,7
Kis Kisko Pyaar Karoon,25-Sep,10.15,28.81,44
Bhaag Johnny,25-Sep,0.25,0.75,2
Katti Batti,18-Sep,5.28,16.27,22.5
Hero,11-Sep,6.85,21.2,32.43
Welcome Back,4-Sep,14.35,51,74.02
Phantom,28-Aug,8.46,33.18,47.5
Manjhi – The Mountain Man,21-Aug,1.4,6.45,10
All Is Well,21-Aug,2.9,11.91,18.5
Brothers,14-Aug,15.2,52.08,78.7
Bangistan,7-Aug,1,2.5,3.77
Drishyam,31-Jul,8,30.03,34.08
Bajrangi Bhaijaan,17-Jul,27.25,102.6,184.62
Baahubali: The Beginning (Hindi),10-Jul,5.15,22.35,45
Guddu Rangeela,3-Jul,1.51,5.82,8.77
Miss Tanakpur Haazir Ho,26-Jun,0.31,1.03,1.03
ABCD 2,19-Jun,14.3,46,71.78
Hamari Adhuri Kahani,12-Jun,5.04,16.49,27.12
Dil Dhadakne Do,5-Jun,10.53,37.05,57
Welcome To Karachi,28-May,1.68,5.4,8
Tanu Weds Manu Returns,22-May,8.85,38.1,70
Bombay Velvet,15-May,5.2,16.1,22.27
Piku,8-May,5.32,25.22,41.4
Kuch Kuch Locha Hai,8-May,0.75,3,4
Gabbar Is Back,1-May,13.05,40,56.75
Margarita With A Straw,17-Apr,0.5,2.12,3.28
Mr. X,17-Apr,4.5,13.99,22.75
Dharam Sankat Mein,10-Apr,1.3,5,10
Ek Paheli Leela,10-Apr,5.3,15.85,24
Detective Byomkesh Bakshy,3-Apr,4.2,14,20
Hunterrr,20-Mar,1.6,5.1,10
Dilliwaali Zaalim Girlfriend,20-Mar,0.6,1.75,2.5
NH10,13-Mar,3.35,13.3,20.5
Dirty Politics,6-Mar,1.3,3.94,7
Dum Laga Ke Haisha,27-Feb,1.1,6,10.65
Ab Tak Chhappan 2,27-Feb,1.25,4.5,5.95
Badlapur,20-Feb,7.12,24,37
Roy,13-Feb,10.4,28.68,41.77
Shamitabh,30-Jan,3.5,13.25,19
Hawaizaada,30-Jan,0.57,2,3
Khamoshiyan,30-Jan,1.92,6.67,11.3
Baby,23-Jan,9.3,35.9,63.82
Dolly Ki Doli,23-Jan,2,10.3,18.66
Alone,16-Jan,3.5,14,22
I (Hindi Version),16-Jan,2.1,7.9,11
Tevar,9-Jan,7.05,22.05,35
