Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime
October,13-April,05.04,20.25,25.56 *
Blackmail,06-April,02.81,11.22,16.92
Baaghi 2,30-Mar,25.10,73.10,112.85
Hichki,23-Mar,03.30,15.35,26.10
Raid,16-Mar,10.04,41.01,63.05
Hate Story 4,09-Mar,03.50,12.57,18.61
Dil Juunglee,09-Mar,00.50,01.05,01.05
3 Storeys ,09-Mar,00.50,02.25,02.25
Pari,02-Mar,04.36,15.34,22.50
Sonu Ke Titu Ki Sweety,23-Feb,06.42,26.57,45.94
Welcome To New York,23-Feb,01.00,03.00,03.00
Aiyaary,16-Feb,03.50,11.70,16.14
Black Panther,16-Feb,05.60,19.35,27.67
PadMan,09-Feb,10.26,40.05,62.87
Padmaavat,25-Jan,24.00,114.00,166.50
Kaalakaandi ,12-Jan,01.25,03.85,05.30
1921,12-Jan,01.56,06.45,09.38
Mukkabaaz,12-Jan,00.82,04.04,06.18
The Post,12-Jan,00.23,01.17,01.59
