Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime,stars,cast,director
Jumanji: Welcome To The Jungle,29-Dec,05.26,20.27,28.96, Welcome to the Jungle Movie Review Rating[ Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black, Rhys Darby, Nick Jonas.],[ Jake Kasdan]
Tiger Zinda Hai,22-Dec,34.10,114.93,206.04, 4/5 Stars (Four stars)[ Salman Khan, Katrina Kaif, Sajjad Delafrooz, Angad Bedi, Kumud Mishra, Girish Karnad, Paresh Rawal.],[ Ali Abbas Zafar.]
Fukrey Returns,08-Dec,08.10,32.20,50.30, 3.5/5 Stars (Three and a half stars)[  Pulkit Samrat, Manjot Singh, Ali Fazal, Varun Sharma, Richa Chadha, Pankaj Tripathi, Vishakha Singh, Priya Anand],[  Mrighdeep Lamba]
Firangi,01-Dec,02.00,07.50,08.75,  1.5/5 Stars (One and a half stars)[  Kapil Sharma, Ishita Dutta, Monica Gill, Edward Sonnenblick, Kumud Mishra, Rajesh Sharma, Inaamulhaq, Aanjjan Srivastav.],[ Rajiev Dhingra]
Tera Intezaar,01-Dec,00.50,01.50,01.75, Sunny Leone, Arbaaz Khan[ Raajeev Walia],[ Aman Mehta, Bijal Mehta]
Julie 2,24-Nov,00.50,00.50,00.50, 1/5 Star (One star)[  Raai Laxmi, Ravi Kishan, Pankaj Tripathi, Anant Jog, Nishikant Kamat.],[ Deepak Shivdasani.]
Justice League,17-Nov,05.00,15.00,25.00, 2/5 Stars (Two stars)[  Ben Affleck, Henry Cavill, Gal Gadot, Ezra Miller, Jason Momoa, Ray Fisher, Ciaran Hinds.],[ Zack Snyder/Joss Whedon.]
Aksar 2,17-Nov,01.44,02.44,02.44, 2/5 Stars (Two stars)[  Zareen Khan, Gautam Rode, Lillete Dubey, Abhinav Shukla, S. Sreesanth, Mohit Madaan.],[ Ananth Narayan Mahadevan]
Tumhari Sulu,17-Nov,02.87,12.87,19.78, 3.5/5 Stars (Three and a half stars)[ Vidya Balan, Manav Kaul, Neha Dhupia, Malishka Mendonsa, Vijay Maurya],[ Suresh Triveni]
Qarib Qarib Singlle,10-Nov,01.75,08.30,12.00, 4/5 Stars (Four stars)[  Irrfan Khan, Parvathy],[ Tanuja Chandra]
Shaadi Mein Zaroor Aana,10-Nov,01.64,04.50,06.50, 2/5 Stars (Two stars)[  Rajkummar Rao, Kriti Kharbanda, Govind Namdev],[ Ratnaa Sinha]
Ittefaq,03-Nov,04.05,16.05,20.30, 3.5/5 Stars (Three and half stars)[ Sidharth Malhotra, Akshaye Khanna, Sonakshi Sinha],[ Abhay Chopra]
Thor: Ragnarok,03-Nov,07.73,27.66,31.76, Ragnarok Movie Review Rating[ Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo, Tessa Thompson, Idris Elba, Jeff Goldblum.],[ Taika Waititi.]
Golmaal Again,20-Oct,30.14,87.60,136.07, Rating[  Ajay Devgn, Arshad Warsi, Parineeti Chopra, Tabu, Kunal Kemmu, Shreyas Talpade, Tusshar Kapoor, Sanjay Mishra, Johnny Lever, Mukesh Tiwari, Vrajesh Hirjee.],[ Rohit Shetty]
Secret Superstar,19-Oct,04.80,31.31,41.59, Rating[ Zaira Wasim, Aamir Khan, Meher Vij, Raj Arjun, Tirth Sharma],[ Advait Chandan]
Chef,06-Oct,01.05,02.40,06.25, Rating[  Saif Ali Khan, Svar Kamble, Padmapriya Janakiraman, Chandan Roy Sanyal, Milind Soman, Dinesh P Nair, Sobhita Dhulipala, Ram Gopal Bajaj],[ Raja Krishna Menon]
