Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime
Dabangg 2,21-Dec,21.1,63.6,107.6
Khiladi 786,7-Dec,10.3,34.1,51.5
Talaash,30-Nov,14,48,68
Jab Tak Hai Jaan,13-Nov,15,81,98
Son Of Sardaar,13-Nov,10,64.05,83
Skyfall,2-Nov,6,23,30
Luv Shuv Tey Chicken Khurana,2-Nov,1.25,5.5,8
1920 – Evil Returns,2-Nov,4.05,13,19
Rush,26-Oct,0.6,2.5,3.5
Ajab Gazabb Love,26-Oct,1.25,4.75,6.5
Chakravyuh,24-Oct,3.6,11.5,16
Student Of The Year,19-Oct,9,28.5,47
Aiyyaa,12-Oct,1.5,4.5,6.5
Bhoot Returns,12-Oct,1.25,3.5,5
Makkhi,12-Oct,0.45,2,2
English Vinglish,5-Oct,2.5,13,20.5
Kismet Love Paisa Dilli,5-Oct,1,3.1,3.1
OMG Oh My God!,28-Sep,4,16.6,36
Kamaal Dhamaal Malamaal,28-Sep,1.25,4.15,5.6
Heroine,21-Sep,7.2,25,36.5
Barfi!,14-Sep,9.2,34.6,58.6
Raaz 3,7-Sep,10.5,35,55
Joker,31-Aug,4.6,15,20
Shirin Farhad Ki Toh Nikal Padi,24-Aug,1.75,6.3,9.1
Ek Tha Tiger,15-Aug,32.92,116.05,135.05
Gangs Of Wasseypur 2,8-Aug,2.8,15.25,18.5
Jism 2,3-Aug,7.5,20,27.5
Kyaa Super Kool Hain Hum,27-Jul,6.9,22,33
The Dark Knight Rises,20-Jul,5.5,17,26.55
Cocktail,13-Jul,10.75,35.65,55
Bol Bachchan,6-Jul,11.4,38.5,60.5
The Amazing Spider-Man,29-Jun,8.5,27.5,42
Maximum,29-Jun,0.6,1.4,1.55
Gangs Of Wasseypur,22-Jun,2.75,15.6,17
Teri Meri Kahaani,22-Jun,5,16,23
Ferrari Ki Sawaari,15-Jun,3.04,14,19.05
Shanghai,8-Jun,3,12.2,17.05
Rowdy Rathore,1-Jun,15.01,48.05,79.52
Department,18-May,2.75,7.75,11.05
Ishaqzaade,11-May,4.06,15.95,25.75
Dangerous Ishhq,11-May,1.01,3.08,6
Jannat 2,4-May,8.05,23.05,35.01
Tezz,27-Apr,3.05,11,15.08
Vicky Donor,20-Apr,1.08,7.65,13
Hate Story,20-Apr,2,6.08,11
Bittoo Boss,13-Apr,0.55,2.05,2.15
Housefull 2,6-Apr,14,42,63
Blood Money,30-Mar,1.75,5.05,7.05
Agent Vinod,23-Mar,9.06,27.05,38.15
Kahaani,9-Mar,2.07,13.05,23
Chaar Din Ki Chandni,8-Mar,0.07,3.75,5
London Paris New York,2-Mar,1,3.75,6.12
Paan Singh Tomar,2-Mar,0.75,4.01,7
Tere Naal Love Ho Gaya,24-Feb,1.75,7.05,12.05
Jodi Breakers,24-Feb,1.05,6,8.05
Ekk Deewana Tha,17-Feb,0.07,2.75,3.75
Ek Main Aur Ekk Tu,10-Feb,5.25,21.25,32.75
Agneepath,26-Jan,23,67,91.08
Players,6-Jan,4.69,14.98,21.75
