Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime
Jumanji: Welcome To The Jungle,29-Dec,05.26,20.27,28.96
Tiger Zinda Hai,22-Dec,34.10,114.93,206.04
Fukrey Returns,08-Dec,08.10,32.20,50.30
Firangi,01-Dec,02.00,07.50,08.75
Tera Intezaar,01-Dec,00.50,01.50,01.75
Julie 2,24-Nov,00.50,00.50,00.50
Justice League,17-Nov,05.00,15.00,25.00
Aksar 2,17-Nov,01.44,02.44,02.44
Tumhari Sulu,17-Nov,02.87,12.87,19.78
Qarib Qarib Singlle,10-Nov,01.75,08.30,12.00
Shaadi Mein Zaroor Aana,10-Nov,01.64,04.50,06.50
Ittefaq,03-Nov,04.05,16.05,20.30
Thor: Ragnarok,03-Nov,07.73,27.66,31.76
Golmaal Again,20-Oct,30.14,87.60,136.07
Secret Superstar,19-Oct,04.80,31.31,41.59
Chef,06-Oct,01.05,02.40,06.25
Judwaa 2,29-Sep,16.10,59.25,98.08
Newton,22-Sep,00.96,06.90,11.83
Bhoomi ,22-Sep,02.25,07.48,08.50
Haseena Parkar,22-Sep,01.87,06.10,06.85
Kingsman: The Golden Circle,22-Sep,03.15,03.15,03.15
Simran,15-Sep,02.77,10.65,15.48
Lucknow central,15-Sep,02.04,08.42,10.57
IT,8-Sep,01.67,07.52,10.07
Daddy,8-Sep,01.25,04.60,07.00
Poster Boys,8-Sep,01.75,07.25,11.20
Baadshaho,1-Sep,12.03,43.30,64.14
Shubh Mangal Saavdhan,1-Sep,02.71,14.46,24.03
A Gentleman,25-Aug,04.04,13.13,19.82
Babumoshai Bandookbaaz,25-Aug,02.05,07.53,12.34
Qaidi Band,25-Aug,00.25,00.50,00.50
Annabelle: Creation,18-Aug,05.00,22.20,35.85
Bareilly Ki Barfi,18-Aug,02.42,11.30,18.72
Toilet - Ek Prem Katha,11-Aug,13.10,51.45,96.05
Jab Harry Met Sejal,04-Aug,15.25,45.75,59.20
Mubarakan,28-Jul,05.16,22.91,35.66
Indu Sarkar,28-Jul,01.20,03.55,04.30
Munna Michael,21-Jul,06.65,21.67,31.62
Lipstick Under My Burkha,21-Jul,01.22,05.80,10.96
Dunkirk,21-Jul,03.60,11.90,18.07
Jagga Jasoos,14-Jul,08.57,33.17,43.75
Spider-Man: Homecoming,07-Jul,09.30 (Including Preview),30.25,43.00
Mom,07-Jul,02.90,14.40,23.80
Guest iin London,07-Jul,02.10,08.00,09.00
Tubelight,23- June,21.15,64.77,106.86
Bank Chor,16-June,01.40,04.34,07.30
Phullu,16-June,01.00,02.30,02.30
Behen Hogi Teri,09-Jun,00.50,01.50,01.50
Raabta,09-Jun,05.61,15.93,20.71
Sachin: A Billion Dreams,26-May,08.40,28.05,41.20
Half Girlfriend,19-May,10.27, 32.04,49.19
Hindi Medium,19-May,02.81,12.56,25.21
Meri Pyaari Bindu,12-May,01.75,06.50,09.20
Sarkar 3,12-May,02.10,06.75,09.53
Baahubali 2: The Conclusion,28-Apr,41.00,128.00,247.00
Maatr,21-Apr,00.42,01.68,02.31
Noor,21-Apr,01.54,05.52,07.52
Begum Jaan,14-Apr,03.94,11.48,17.83
The Fate Of The Furious,14-Apr,09.25,47.50,65.85
Laali Ki Shaadi Mein Laddoo Deewana,7-Apr,00.14,00.55,00.80
Poorna,31-Mar,00.18,0.90,01.50
Naam Shabana,31-Mar,05.12,18.76,27.18
Anaarkali Of Aarah,24-Mar,00.13,00.60,00.97
Phillauri,24-Mar,04.02,15.25,22.68
Trapped,17-Mar,00.26,01.44,02.29
Beauty And The Beast,17-Mar,01.42,06.67,10.48
Aa Gaya Hero,17-Mar,00.20,00.65,01.25
Machine,17-Mar,00.55,01.75,03.00
Badrinath Ki Dulhania,10-Mar,12.25,43.05,73.66
Logan,03-Mar,04.75,17.10,26.03
Commando 2,03-Mar,05.15,15.74,23.07
Rangoon,24-Feb,06.07,18.25,21.50
The Ghazi Attack - Hindi Version,16-Feb,01.65,06.70,11.85
Running Shaadi,16-Feb,00.17,00.60,01.00
Irada,16-Feb,00.15,00.57,00.90
Jolly LLB 2,10-Feb,13.20,50.46,77.71
Raees,25-Jan,20.42,93.24,122.36
Kaabil,25-Jan,10.43,67.46,90.55
Ok Jaanu,13-Jan,04.08,13.80,19.50
xXx: Return of Xander Cage,13-Jan,08.00,15.85,24.00
Haraamkhor,13- Jan,00.24,01.01,01.01
