Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime
Don 2 (Hindi, Tamil & Telugu) (2D & 3D),23-Dec,15.3,48.55,73
Ladies Vs Ricky Bahl,9-Dec,4.75,16.75,25
The Dirty Picture (Hindi, Tamil & Telugu),2-Dec,9.35,31.36,52.5
Desi Boyz,25-Nov,9,28.25,40
Rockstar,11-Nov,11,35,51
Ra.One (Hindi, Tamil & Telugu) (2D & 3D),26-Oct,18,91.10 (5-day weekend),103.25
Mujhse Fraaandship Karoge,14-Oct,0.5,2.15,3.5
Love Breakups Zindagi,7-Oct,0.35,1.25,2
Rascals,6-Oct,7.5,22.75 (4-day weekend),30
Hum Tum Shabana,30-Sep,0.4,1.5,2
Saheb Biwi Aur Gangster,30-Sep,1,3.5,5.25
Force,30-Sep,5,16,23
Speedy Singhs (English & dubbed),23-Sep,0.6,2,3
Mausam,23-Sep,6.75,21,28
Mere Brother Ki Dulhan,9-Sep,7.35,26,37
Bodyguard,31-Aug,21,86.00 (5-day weekend),115
Aarakshan,12-Aug,4.5,18.5,28
Singham,22-Jul,9,30.5,50
Zindagi Na Milegi Dobara,15-Jul,7.5,27,44
Murder 2,8-Jul,6.5,22.5,35.5
Bbuddah Hoga Terra Baap,1-Jul,2,6.75,11.5
Delhi Belly (English & Hindi),1-Jul,6.25,23,37.5
Double Dhamaal,24-Jun,7.65,25.5,36.5
Bheja Fry 2,17-Jun,2,6.5,8
Shaitan,10-Jun,1,3.5,5
Ready,3-Jun,13,42.5,69
Pyaar Ka Punchnama,20-May,1.1,3.25,5.5
Ragini MMS (Hindi, Tamil & Telugu),13-May,1.25,4.25,7
Luv Ka The End,6-May,0.6,2.35,4
Haunted (2D & 3D),6-May,2.25,8.5,13.5
Shor In The City,29-Apr,0.4,2,3
Chalo Dilli,29-Apr,1,3.75,5.5
Dum Maaro Dum,22-Apr,5,14.25,21.5
Thank You,8-Apr,4.85,17.75,24
Game,1-Apr,1.25,4.5,6
F.A.L.T.U.,1-Apr,4.5,10.75,16.25
Tanu Weds Manu,25-Feb,3.25,11.25,18.55
7 Khoon Maaf,18-Feb,3.1,10.25,14.75
Patiala House,11-Feb,4.5,15.5,24
Yeh Saali Zindagi,4-Feb,1.1,4.5,7.5
Dil Toh Baccha Hai Ji,28-Jan,3.7,14,20.75
Dhobi Ghat (English & Hindi),21-Jan,2.85,9,12
Yamla Pagla Deewana,14-Jan,7.75,23,34
No One Killed Jessica,7-Jan,3.1,12.5,19
