Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime
Dhoom 3,20-Dec,36,107,185.5
Jackpot,13-Dec,1.1,3,4
R… Rajkumar,6-Dec,9.5,29,47
Bullett Raja,29-Nov,7,23,33
Singh Saab The Great,22-Nov,5.5,16.25,24
Gori Tere Pyaar Mein!,22-Nov,3.25,10,14
Ramleela,15-Nov,15.85,52.6,82
Rajjo,15-Nov,0.5,1.5,2
Satya 2,8-Nov,0.4,1.5,2
Krrish 3,31-Oct,24.25,68,164.5
Mickey Virus,25-Oct,1.5,5,7
Shahid,18-Oct,0.3,1.75,3.2
Boss,16-Oct,13,42.5,49.5
War Chhod Na Yaar,11-Oct,1.4,5,6.75
Besharam,2-Oct,21.56,48,55
Warning 3D,27-Sep,0.8,3,3
Prague,27-Sep,0.1,0.8,0.9
Phata Poster Nikhla Hero,20-Sep,6,22,32
The Lunchbox,20-Sep,1.25,7,11
Horror Story,13-Sep,0.7,2,5
John Day,13-Sep,0.45,1.5,2.5
Grand Masti,13-Sep,12.5,40,67
Shuddh Desi Romance,6-Sep,6.45,23,37
Zanjeer,6-Sep,3.5,10,15
Satyagraha,30-Aug,11,39,55
Madras Cafe,23-Aug,4.9,21,34
Once Upon A Time In Mumbaai Dobaara!,15-Aug,11.5,41,54.25
Chennai Express,9-Aug,33.1,100.35,156.6
B.A. Pass,2-Aug,1.5,4.25,6
Bajatey Raho,26-Jul,1.5,4.75,7
Issaq,26-Jul,1,3,5
Nasha,26-Jul,1.1,3,5
D Day,19-Jul,2.9,12.9,24
Ramaiya Vastavaiya,19-Jul,3.5,14.7,26
Bhaag Milkha Bhaag,12-Jul,8.5,33.35,53.7
Lootera,5-Jul,5.15,19,27
Policegiri,5-Jul,2.5,8,14
Ghanchakkar,28-Jun,7.2,22.75,32
Raanjhanaa,21-Jun,5.15,19.9,34
Fukrey,14-Jun,2.75,9.5,18.5
Yamla Pagla Deewana 2,7-Jun,7.1,23,35
Yeh Jawaani Hai Deewani,31-May,19.45,62.11,107.61
Aurangzeb,17-May,3.9,12.8,20
Go Goa Gone,10-May,3.75,12.9,20
Gippi,10-May,0.75,3,4.5
Shootout At Wadala,3-May,10.1,30.8,45.8
Bombay Talkies,3-May,1.05,5.05,7.5
Aashiqui 2,26-Apr,6,20,38.5
Ek Thi Daayan,19-Apr,6.24,18,26
Nautanki Saala,12-Apr,3.25,13.25,17.85
Commando,12-Apr,3.7,11.15,18
Chashme Baddoor,5-Apr,5.18,19,30
Himmatwala,29-Mar,12,31,45
Aatma,22-Mar,1.5,5.75,8
Rangrezz,21-Mar,1,4,6
Mere Dad Ki Maruti,15-Mar,1.3,4.5,8
Jolly LLB,15-Mar,3.12,12.51,19.5
3G,15-Mar,0.75,3.63,5.75
Saheb Biwi Aur Gangster Returns,8-Mar,3.5,12.75,18.25
The Attacks Of 26/11,1-Mar,1.45,5.5,8
I Me Aur Main,1-Mar,1.5,5.4,8
Kai Po Che!,22-Feb,4.5,18,29.35
Zila Ghaziabad,22-Feb,3.5,10,16
Murder 3,15-Feb,4.52,13.31,20.86
Jayantabhai Ki Luv Story,15-Feb,0.5,2.5,4
Special Chabbis (26),8-Feb,6.5,25.75,44
ABCD – Any Body Can Dance,8-Feb,5.5,18,32
Vishwaroop (Dubbed Hindi Version),1-Feb,1.9,8,11
David,1-Feb,0.7,2.5,3.85
Race 2,25-Jan,15.1,51.3,75.5
Inkaar,18-Jan,1.65,5.8,8.5
Matru Ki Bijlee Ka Mandola,11-Jan,7.02,22.4,33.15
Table no. 21,4-Jan,1.5,6,9.5
