Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime
Dangal,23 - Dec,29.78,106.95,197.54
Wajah Tum Ho,16 - Dec,02.86,08.50,09.50
Befikre,09 - Dec,10.36,34.36,48.75
Kahaani 2,02 - Dec,04.25,16.97,24.26
Dear Zindagi,25 - Nov,08.75,32.50,47.00
Saansein – The Last Breath,25 - Nov,00.61,02.30,04.00
Force 2,18 - Nov,06.05,20.05,30.15
Tum Bin 2,18 - Nov,01.00,02.50,03.20
Rock On 2,11-Nov,02.02,07.01,10.50
Ae Dil Hai Mushkil,28-Oct,13.30,35.60,80.19
Shivaay,28-Oct,10.24,28.56,70.41
31st october,21-Oct,00.30,01.10,01.10
Gandhigiri,21-Oct,00.10,00.40,00.40
Saat Uchakkey,14-Oct,01.00,01.50,01.50
Mirzya,07-Oct,02.20,06.50,09.50
Tutak Tutak Tutiya,07-Oct,00.45,02.00,02.60
M.S. Dhoni – The Untold Story,30-Sept,21.30,66.00,94.13
Banjo,23-Sept,01.72,05.92,08.67
Parched,23-Sept,00.12,00.62,01.00
Pink,16-Sept,04.32,21.51,35.91
Raaz Reboot,16-Sept,06.30,18.09,26.73
Baar Baar Dekho,09-Sept,06.81,21.16,29.40
Freaky Ali,09-Sept,02.55,08.50,13.50
Akira,02-Sept,05.15,16.65,26.39
A Flying Jatt,25-Aug,07.10,29.45,36.85
Happy Bhag Jayegi,19-Aug,02.32,10.71,17.65
Rustom,12-Aug,14.11,50.42,90.90
Mohenjo Daro,12-Aug,08.87,30.54,51.18
Dishoom,29-July,11.05,37.32,53.34
Kabali (Hindi),22-July,05.20,13.75,21.75
Madaari,22-July,02.25,08.00,12.50
Great Grand Masti,15-July,02.50,08.00,08.00
Sultan,06-July,36.54,180.36,229.16
Junooniyat,24-June,00.65,02.00,03.40
Raman Raghav 2.0,24-June,01.36,05.08,05.08
Udta Punjab,17-June,10.05,33.80,48.50
Te3n,10-June,02.61,11.13,16.35
Do Lafzon Ki Kahani,10-June,01.03,03.25,03.25
The Conjuring 2,10-June,05.25,19.80,35.80
Housefull 3,03-June,15.21,53.31,80.10
Angry Birds,27-May,02.20,09.04,09.04
Veerappan,27-May,01.79,05.95,09.00
Phobia,27-May,00.20,01.25,02.50
Waiting,27-May,00.27,01.25,02.50
Sarbjit,20-May,03.69,13.95,22.09
X-Men: Apocalypse,20-May,04.51,16.21,26.06
Azhar,13-May,06.30,20.80,29.70
1920 London,06-May,02.46,07.62,12.45
Captain America: Civil War,06-May,8.53,27.13,42.72
Baaghi,29-Apr,11.94,38.58,59.72
Fan,15-Apr,19.20,52.35,71.50
The Jungle Book,08-Apr,10.09,40.19,74.08
Love Games,08-Apr,01.03,03.06,03.06
Ki And Ka,01-Apr,07.30,25.23,37.57
Rocky Handsome,25-Mar,07.06,16.12,23.00
Kapoor And Sons,18-Mar,06.85,26.35,46.93
Teraa Surroor,11-Mar,01.79,06.46,11.38
Jai Gangaajal,04-Mar,05.50,19.25,29.50
Aligarh,26-Feb,00.50,01.50,02.00
Tere Bin Laden Dead Or Alive,26-Feb,00.50,02.00,03.75
Neerja,19-Feb,04.70,22.01,35.32
Fitoor,12-Feb,03.61,14.11,17.5
Sanam Re,12-Feb,05.04,17.05,25.82
Sanam Teri Kasam,05-Feb,01.00,04.66,07.00
Ghayal Once Again,05-Feb,07.20,23.25,33.25
Saala Khadoos,29-Jan,01.50,05.25,09.00
Mastizaade,29-Jan,05.59,18.00,28.00
Airlift,22-Jan,12.35,44.30,83.5
Kyaa Kool Hain Hum 3,22-Jan,08.15,20.15,29.65
Wazir,08-Jan,05.57,21.00,29.95
